id,vevo_nev,megnevezes,cikkszam,mennyisegi_egyseg,felulet,alapanyagok,suly,suly_mertekegyseg,uzem_lanc,feszekszam,csokosuly,csokosuly_mertekegyseg,foto,customer_name,customer_address,customer_tax_number,customer_eu_tax_number,customer_country,shipping_name,shipping_address,shipping_country
1,NILFISK,LUG-IDLER-CYL DECK  ,56117904,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
2,NILFISK,CASTING-IDLER END-CYLINDRICAL ,56117317,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
3,NILFISK,HOUSING-CYLINDRICAL DRIVE  ,56117760,Stk,roh,,1.5,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
4,NILFISK,LUG-DRIVE END  ,56117565,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
5,NILFISK,Fan House ,301000495,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
6,NILFISK,Support Lower F Squeegee,9099459000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,Z:/Közös Szerver/GYÁRTÁS ÉS MŰSZAKBEOSZTÁS 2024/Képek/ujak/Support Lower F S/20250217_122033.jpg,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
7,NILFISK,Lever Squeegee Lifting,9099460000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
8,NILFISK,Lever Ext. For Deck Lifting,9099724000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
9,NILFISK,Support Rear Wheels-Squeegee,9099444000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
10,NILFISK,Squeegee 890mm 35 Alu,9098379000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
11,NILFISK,Chassis,9099353000,Stk,RAL9006 Silver,,0.0,kg,"Öntöde,Festő",1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
12,NILFISK,Plate Brush Deck Holder,9099446000,stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
13,NILFISK,Lever Int For Deck Lifting,9099725000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
14,NILFISK,Support Alum. Brush Deck Laterial,9098100000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
15,NILFISK,Arm Side ,9097853000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
16,NILFISK,Plate Brush Deck Holder ,9099483000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
17,NILFISK,Bracket Turning,9097839000,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
18,NILFISK,COVER-OFFSET STEERING,56117710,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
19,NILFISK,BASE-OFFSET STEERING,56117709,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
20,NILFISK,Sqeegee-Casting-M,56120136,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
21,NILFISK,Sqeegee-Casting-34 IN,56117301,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
22,NILFISK,Sqeegee-Mount (Casting),56117306,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
23,NILFISK,FAN housing N2,107145126,Stk,roh,,0.0,kg,Öntöde,1,0.0,kg,,Nilfisk Production Kft.,"2313 Szigetszentmiklós, Hrsz.: 12001/76-77 ATI-SZIGET Ipari Park",13073893-2-44,HU13073893,Magyarország,Nilfisk Production Kft.,"8800 Nagykanizsa, Vámház út. 1",Magyarország
25,ESKA GMBH,"Schweißteil ""Muldenwagen"" TMW 150-450 galv. Verzinkt Z. Nr. EP_0386.01.01.00",923.0100-1-0,Stk,verzinkt,,13.8,kg,Acél,1,0.0,,,,,,,,,,
26,ESKA GMBH,"Schweißteil ""Muldenwagen"" TMW 150-550 galv. Verzinkt Z. Nr. EP_0387.01.01.00",923.0100-2-0,Stk,verzinkt,,15.2,kg,Acél,1,0.0,,,,,,,,,,
27,ESKA GMBH,Fahrwagen /Schweißteil Bodenführung Zn.-Nr. 1.2395.AA.00 Achtung geänderte Lackierung: Ral-7040 Fenstergrau,73.00005-0-0,Stk,festett,,46.0,kg,"Acél,Festő",1,0.0,,,,,,,,,,
28,ESKA GMBH,"Motorkonsole TRPA 1,1 KW Zn.-Nr.3.0380.03.01.09 galvanisch verzinkt",70.00650-0-0,Stk,verzinkt,,4.78,kg,Acél,1,0.0,,,,,,,,,,
29,ESKA GMBH,"Motorkonsole TRPA 1,5 KW Zn.-Nr.3.0380.03.06.02 galvanisch verzinkt",70.00660-0-0,Stk,verzinkt,,6.41,kg,Acél,1,0.0,,,,,,,,,,
